MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY
15370,1986-06-18,FIFA World Cup,Paraguay,England,0.0,3.0,0,World Cup
15371,1986-06-21,FIFA World Cup,Brazil,France,1.0,1.0,0,World Cup
15371,1986-06-21,FIFA World Cup,France,Brazil,1.0,1.0,0,World Cup
15372,1986-06-21,Friendly,Malawi,Zambia,0.0,2.0,1,Friendly
15372,1986-06-21,Friendly,Zambia,Malawi,2.0,0.0,0,Friendly
15373,1986-06-21,FIFA World Cup,Mexico,Germany,0.0,0.0,1,World Cup
15373,1986-06-21,FIFA World Cup,Germany,Mexico,0.0,0.0,0,World Cup
15374,1986-06-22,FIFA World Cup,Spain,Belgium,1.0,1.0,0,World Cup
15374,1986-06-22,FIFA World Cup,Belgium,Spain,1.0,1.0,0,World Cup
15375,1986-06-22,Friendly,Malawi,Zambia,0.0,1.0,1,Friendly
15375,1986-06-22,Friendly,Zambia,Malawi,1.0,0.0,0,Friendly
15376,1986-06-22,FIFA World Cup,Argentina,England,2.0,1.0,0,World Cup
15376,1986-06-22,FIFA World Cup,England,Argentina,1.0,2.0,0,World Cup
15377,1986-06-25,FIFA World Cup,Argentina,Belgium,2.0,0.0,0,World Cup
15377,1986-06-25,FIFA World Cup,Belgium,Argentina,0.0,2.0,0,World Cup
15378,1986-06-25,FIFA World Cup,France,Germany,0.0,2.0,0,World Cup
